full_text,sentiment
frustrated upset mastercard elite cards restricted access bangalore airport 080 lounge one best country disappointing left despite faithful cardholders hope gets resolved soon need change mastercard blrairport,Negative
bangalore airport lounge credit card access good combination 2,Positive
blrairport 080 lounge bangalore airport fantastic nice food great ambiance,Positive
used bangalore airport excellent experience took 10 minutes entry crossing security gates spent 1 hour airport lounge,Positive
also found bangalore airport t1 lounge mataji houseplants smiling glee gave,Positive
visual played international lounge bangalore airport support kannada pride,Positive
apparently need swipe two cards want lounge access gt 3 hrs departure bangalore airport,Positive
til swiggyhdfccard domestic lounge access work bangalore airport,Neutral
sad blrairport t2 international lounge access many indian banks card holders start new terminal preparation incomplete terminal2 bangalore airport lounge,Negative
even premium lounge fully jam packed terminal 1 bangalore airport much exclusivity please open 4 5 lounges airport ya,Positive
bangalore airport lounge first class ah irunthuchu,Neutral
bangalore airport idfc card provides 50 lounge price e 850 rupees complimentary access idfcfirstbank,Negative
free cocktails bangalore airport lounge going carry onto plane,Positive
see new bangalore airport feasible hanging gardens wall plants mixed art delhi good shity lounge,Positive
could please tell details mastercard dragon pass cards acceptance bangalore airport lounges,Positive
millennia card accepted 080 lounge bangalore airport terminal 2 use lounge access jot work,Negative
bangalore airport lounge 080 lounge review kempegowdainternationalair via youtube bengaluruairport kempegowdaairport airportlounge avgeeks,Neutral
best part bangalore airport domestic lounge rs 2 u decent breakfast domestic lounge,Positive
one hour left information bangalore airport departure lounge flight 6e 482,Negative
reminds time got period bangalore airport even washroom fancy lounge provision pads men got periods would surely pads every public washroom daily reminder live male world,Positive
cheers international lounge bangalore airport dashing back minnesota via paris 1 20 flight,Positive
safiranand today bangalore airport domestic got premium lounge operated dreamfolks saw difference time footfall lounge increased several times indicates business turn around expansion airports possible,Positive
reddy_aria bangalore airport love especially lounge,Positive
hard execute separate sections ground example lounge bangalore airport used separate section biz class travellers staff bandwidth manage customers section almost always full,Negative
girl needs lie anyone bangalore airport lounge photos,Neutral
coral card visa platinum international card accepted terminal 2 bangalore airport lounge access,Negative
took lounge access declined bangalore airport checked customercare told additional steps going lounge,Neutral
bangalore airport lounge 11am nothing intra company daily standup,Neutral
best lounge bangalore airport,Positive
credofly used like adani t2 late quality food deteriorated earlier gvk quality amazing recently tried lounge new bangalore airport simply superb,Positive
wonderful experience 080 lounge bangalore airport nice food accessed via priority pass got magnus,Positive
international lounge bangalore airport top class food service staff good visit place bangalore airport,Positive
visited best lounge bangalore airport 080 t1 since large group ended using priority passes axis hdfc amp amex platinum great experience usual 080 felt bit relieved peeked neighbouring lounge crowd,Positive
sitting lounge bangalore airport 80 people coughing one even cares cover mouth even go pickup food buffet,Positive
